orientations: 9, n_components: 50
n_neighbors: 7, accuracy train: 0.7892058106245361, accuracy val: 0.6962651496413554
n_neighbors: 8, accuracy train: 0.7834800127239954, accuracy val: 0.7024486767252041
n_neighbors: 9, accuracy train: 0.7790266143569081, accuracy val: 0.7069008162255751
n_neighbors: 10, accuracy train: 0.776481815290001, accuracy val: 0.7051694286420974
n_neighbors: 11, accuracy train: 0.7758456155232744, accuracy val: 0.7086322038090527
n_neighbors: 12, accuracy train: 0.7748913158731842, accuracy val: 0.7111056146425921
n_neighbors: 13, accuracy train: 0.7746792492842752, accuracy val: 0.7145683898095474
n_neighbors: 14, accuracy train: 0.76789311843919, accuracy val: 0.7148157308929013
n_neighbors: 15, accuracy train: 0.7660905524334641, accuracy val: 0.7143210487261934
n_neighbors: 16, accuracy train: 0.7638638532499205, accuracy val: 0.7083848627256988
n_neighbors: 17, accuracy train: 0.7635457533665571, accuracy val: 0.7103635913925302
n_neighbors: 18, accuracy train: 0.761213020888559, accuracy val: 0.7101162503091764
n_neighbors: 19, accuracy train: 0.7615311207719224, accuracy val: 0.7046747464753895
n_neighbors: 20, accuracy train: 0.7603647545329233, accuracy val: 0.7059114518921593
n_neighbors: 21, accuracy train: 0.7552751563991094, accuracy val: 0.7066534751422211
n_neighbors: 22, accuracy train: 0.7562294560491994, accuracy val: 0.7031906999752658
n_neighbors: 23, accuracy train: 0.7545329233379281, accuracy val: 0.7101162503091764
n_neighbors: 24, accuracy train: 0.7529424239211112, accuracy val: 0.7083848627256988
n_neighbors: 25, accuracy train: 0.7517760576821122, accuracy val: 0.711352955725946
n_neighbors: 26, accuracy train: 0.750821758032022, accuracy val: 0.7118476378926539
n_neighbors: 27, accuracy train: 0.7485950588484784, accuracy val: 0.711352955725946
n_neighbors: 28, accuracy train: 0.7479588590817516, accuracy val: 0.7118476378926539
n_neighbors: 29, accuracy train: 0.7477467924928427, accuracy val: 0.7111056146425921
[KNN BEST] n_neighbors=14, val_accuracy=0.7148157308929013
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.7081375216423448
------------------------------------------------------------------------------------------------------------------------
orientations: 18, n_components: 100
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6720257234726688
n_neighbors: 2, accuracy train: 0.833103594528682, accuracy val: 0.6425921345535494
n_neighbors: 3, accuracy train: 0.8283320962782313, accuracy val: 0.675735839722978
n_neighbors: 4, accuracy train: 0.8047927049093415, accuracy val: 0.6881028938906752
n_neighbors: 5, accuracy train: 0.7982186406531651, accuracy val: 0.6883502349740291
n_neighbors: 6, accuracy train: 0.7849644788463578, accuracy val: 0.6913183279742765
n_neighbors: 7, accuracy train: 0.7769059484678189, accuracy val: 0.6947811031412318
n_neighbors: 8, accuracy train: 0.7699077510338246, accuracy val: 0.6962651496413554
n_neighbors: 9, accuracy train: 0.7686353515003711, accuracy val: 0.7004699480583725
n_neighbors: 10, accuracy train: 0.7647121196055562, accuracy val: 0.7044274053920356
n_neighbors: 11, accuracy train: 0.7636517866610115, accuracy val: 0.7031906999752658
n_neighbors: 12, accuracy train: 0.7604707878273778, accuracy val: 0.7039327232253277
n_neighbors: 13, accuracy train: 0.7579259887604708, accuracy val: 0.702943358891912
n_neighbors: 14, accuracy train: 0.7540027568656558, accuracy val: 0.6989859015582488
n_neighbors: 15, accuracy train: 0.7534725903933835, accuracy val: 0.6992332426416028
n_neighbors: 16, accuracy train: 0.7477467924928427, accuracy val: 0.7019539945584962
n_neighbors: 17, accuracy train: 0.7444597603647546, accuracy val: 0.7007172891417265
n_neighbors: 18, accuracy train: 0.7453080267203902, accuracy val: 0.7036853821419737
n_neighbors: 19, accuracy train: 0.7438235605980278, accuracy val: 0.6977491961414791
n_neighbors: 20, accuracy train: 0.7430813275368465, accuracy val: 0.7007172891417265
n_neighbors: 21, accuracy train: 0.7402184285865762, accuracy val: 0.6999752658916646
n_neighbors: 22, accuracy train: 0.7385218958753048, accuracy val: 0.6965124907247093
n_neighbors: 23, accuracy train: 0.7379917294030326, accuracy val: 0.6962651496413554
n_neighbors: 24, accuracy train: 0.7373555296363058, accuracy val: 0.6962651496413554
n_neighbors: 25, accuracy train: 0.7373555296363058, accuracy val: 0.697996537224833
n_neighbors: 26, accuracy train: 0.7360831301028523, accuracy val: 0.7022013356418502
n_neighbors: 27, accuracy train: 0.734386597391581, accuracy val: 0.7017066534751423
n_neighbors: 28, accuracy train: 0.7345986639804899, accuracy val: 0.697996537224833
n_neighbors: 29, accuracy train: 0.7307814653801293, accuracy val: 0.7007172891417265
[KNN BEST] n_neighbors=10, val_accuracy=0.7044274053920356
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.702943358891912
------------------------------------------------------------------------------------------------------------------------
orientations: 18, n_components: 200
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6660895374721741
n_neighbors: 2, accuracy train: 0.8253631640335065, accuracy val: 0.6401187237200099
n_neighbors: 3, accuracy train: 0.8214399321386916, accuracy val: 0.6700469948058373
n_neighbors: 4, accuracy train: 0.7980065740642561, accuracy val: 0.6651001731387584
n_neighbors: 5, accuracy train: 0.7864489449687202, accuracy val: 0.6752411575562701
n_neighbors: 6, accuracy train: 0.7740430495175485, accuracy val: 0.6747464753895622
n_neighbors: 7, accuracy train: 0.7687413847948256, accuracy val: 0.6762305218896859
n_neighbors: 8, accuracy train: 0.7577139221715619, accuracy val: 0.6767252040563938
n_neighbors: 9, accuracy train: 0.7560173894602905, accuracy val: 0.680187979223349
n_neighbors: 10, accuracy train: 0.7502915915597498, accuracy val: 0.6814246846401187
n_neighbors: 11, accuracy train: 0.7440356271869367, accuracy val: 0.680435320306703
n_neighbors: 12, accuracy train: 0.7417028947089386, accuracy val: 0.6851348008904279
n_neighbors: 13, accuracy train: 0.7374615629307603, accuracy val: 0.6816720257234726
n_neighbors: 14, accuracy train: 0.7326900646803096, accuracy val: 0.6826613900568884
n_neighbors: 15, accuracy train: 0.733220231152582, accuracy val: 0.680187979223349
n_neighbors: 16, accuracy train: 0.7305693987912204, accuracy val: 0.680435320306703
n_neighbors: 17, accuracy train: 0.7333262644470364, accuracy val: 0.6784565916398714
n_neighbors: 18, accuracy train: 0.7285547661965858, accuracy val: 0.6814246846401187
n_neighbors: 19, accuracy train: 0.7254798006574065, accuracy val: 0.6787039327232254
n_neighbors: 20, accuracy train: 0.7247375675962252, accuracy val: 0.6782092505565175
n_neighbors: 21, accuracy train: 0.7228289682960449, accuracy val: 0.6791986148899333
n_neighbors: 22, accuracy train: 0.7245255010073163, accuracy val: 0.6749938164729161
n_neighbors: 23, accuracy train: 0.7191178029901389, accuracy val: 0.6742517932228543
n_neighbors: 24, accuracy train: 0.7195419361679567, accuracy val: 0.6784565916398714
n_neighbors: 25, accuracy train: 0.7168911038065953, accuracy val: 0.6764778629730398
n_neighbors: 26, accuracy train: 0.7160428374509596, accuracy val: 0.6772198862231017
n_neighbors: 27, accuracy train: 0.7151945710953239, accuracy val: 0.679693297056641
n_neighbors: 28, accuracy train: 0.7132859717951436, accuracy val: 0.6779619094731635
n_neighbors: 29, accuracy train: 0.7093627399003287, accuracy val: 0.6806826613900568
[KNN BEST] n_neighbors=12, val_accuracy=0.6851348008904279
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.702696017808558
------------------------------------------------------------------------------------------------------------------------
orientations: 18, n_components: 500
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6472916151372743
n_neighbors: 2, accuracy train: 0.8071254373873397, accuracy val: 0.6190947316349246
n_neighbors: 3, accuracy train: 0.8095642031597922, accuracy val: 0.6549591887212466
n_neighbors: 4, accuracy train: 0.7844343123740855, accuracy val: 0.6537224833044769
n_neighbors: 5, accuracy train: 0.7762697487010921, accuracy val: 0.6628741033885729
n_neighbors: 6, accuracy train: 0.7638638532499205, accuracy val: 0.6566905763047242
n_neighbors: 7, accuracy train: 0.7584561552327431, accuracy val: 0.6616373979718031
n_neighbors: 8, accuracy train: 0.753578623687838, accuracy val: 0.6653475142221122
n_neighbors: 9, accuracy train: 0.7487010921429329, accuracy val: 0.6690576304724215
n_neighbors: 10, accuracy train: 0.7425511610645743, accuracy val: 0.6749938164729161
n_neighbors: 11, accuracy train: 0.739476195525395, accuracy val: 0.6737571110561464
n_neighbors: 12, accuracy train: 0.7334322977414909, accuracy val: 0.6660895374721741
n_neighbors: 13, accuracy train: 0.7300392323189482, accuracy val: 0.6673262428889438
n_neighbors: 14, accuracy train: 0.7299331990244937, accuracy val: 0.6690576304724215
n_neighbors: 15, accuracy train: 0.7233591347683173, accuracy val: 0.6683156072223596
n_neighbors: 16, accuracy train: 0.7230410348849539, accuracy val: 0.6690576304724215
n_neighbors: 17, accuracy train: 0.7210264022903191, accuracy val: 0.6648528320554044
n_neighbors: 18, accuracy train: 0.7203902025235924, accuracy val: 0.6653475142221122
n_neighbors: 19, accuracy train: 0.7146644046230516, accuracy val: 0.6648528320554044
n_neighbors: 20, accuracy train: 0.7166790372176863, accuracy val: 0.6680682661390057
n_neighbors: 21, accuracy train: 0.7119075389672357, accuracy val: 0.671283700222607
n_neighbors: 22, accuracy train: 0.7141342381507794, accuracy val: 0.6675735839722978
n_neighbors: 23, accuracy train: 0.7120135722616902, accuracy val: 0.666336878555528
n_neighbors: 24, accuracy train: 0.7090446400169653, accuracy val: 0.6688102893890675
n_neighbors: 25, accuracy train: 0.709892906372601, accuracy val: 0.6655948553054662
n_neighbors: 26, accuracy train: 0.707348107305694, accuracy val: 0.6690576304724215
n_neighbors: 27, accuracy train: 0.7075601738946029, accuracy val: 0.6670789018055899
n_neighbors: 28, accuracy train: 0.7094687731947832, accuracy val: 0.6693049715557754
n_neighbors: 29, accuracy train: 0.7090446400169653, accuracy val: 0.6685629483057136
[KNN BEST] n_neighbors=10, val_accuracy=0.6749938164729161
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.6547118476378927
------------------------------------------------------------------------------------------------------------------------
========================================================================================================================
orientations: 36, n_components: 50
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.6829087311402424
n_neighbors: 2, accuracy train: 0.8360725267734068, accuracy val: 0.6606480336383873
n_neighbors: 3, accuracy train: 0.8326794613508641, accuracy val: 0.6791986148899333
n_neighbors: 4, accuracy train: 0.811154702576609, accuracy val: 0.684887459807074
n_neighbors: 5, accuracy train: 0.8028841056091612, accuracy val: 0.6895869403907989
n_neighbors: 6, accuracy train: 0.7957798748807126, accuracy val: 0.6930497155577542
n_neighbors: 7, accuracy train: 0.7903721768635351, accuracy val: 0.7044274053920356
n_neighbors: 8, accuracy train: 0.7865549782631747, accuracy val: 0.7019539945584962
n_neighbors: 9, accuracy train: 0.7833739794295409, accuracy val: 0.7130843433094237
n_neighbors: 10, accuracy train: 0.7773300816456368, accuracy val: 0.7103635913925302
n_neighbors: 11, accuracy train: 0.774149082812003, accuracy val: 0.7054167697254514
n_neighbors: 12, accuracy train: 0.770013784328279, accuracy val: 0.702943358891912
n_neighbors: 13, accuracy train: 0.7672569186724632, accuracy val: 0.7044274053920356
n_neighbors: 14, accuracy train: 0.7664086523168275, accuracy val: 0.7086322038090527
n_neighbors: 15, accuracy train: 0.762379387127558, accuracy val: 0.7076428394756369
n_neighbors: 16, accuracy train: 0.7630155868942848, accuracy val: 0.7044274053920356
n_neighbors: 17, accuracy train: 0.7587742551161064, accuracy val: 0.707395498392283
n_neighbors: 18, accuracy train: 0.7583501219382887, accuracy val: 0.7103635913925302
n_neighbors: 19, accuracy train: 0.7575018555826529, accuracy val: 0.7098689092258225
n_neighbors: 20, accuracy train: 0.7569716891103807, accuracy val: 0.7046747464753895
n_neighbors: 21, accuracy train: 0.7566535892270173, accuracy val: 0.7133316843927776
n_neighbors: 22, accuracy train: 0.750821758032022, accuracy val: 0.7108582735592381
n_neighbors: 23, accuracy train: 0.7517760576821122, accuracy val: 0.7078901805589909
n_neighbors: 24, accuracy train: 0.748489025554024, accuracy val: 0.707395498392283
n_neighbors: 25, accuracy train: 0.7479588590817516, accuracy val: 0.7059114518921593
n_neighbors: 26, accuracy train: 0.7488071254373874, accuracy val: 0.7061587929755132
n_neighbors: 27, accuracy train: 0.7487010921429329, accuracy val: 0.702943358891912
n_neighbors: 28, accuracy train: 0.7457321598982081, accuracy val: 0.7091268859757606
n_neighbors: 29, accuracy train: 0.7450959601314813, accuracy val: 0.7078901805589909
[KNN BEST] n_neighbors=21, val_accuracy=0.7133316843927776
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.7197625525599802
------------------------------------------------------------------------------------------------------------------------
orientations: 36, n_components: 100
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.675488498639624
n_neighbors: 2, accuracy train: 0.8374509596013148, accuracy val: 0.6418501113034875
n_neighbors: 3, accuracy train: 0.8269536634503234, accuracy val: 0.6863715063071977
n_neighbors: 4, accuracy train: 0.8073375039762486, accuracy val: 0.6861241652238437
n_neighbors: 5, accuracy train: 0.7949316085250768, accuracy val: 0.6885975760573831
n_neighbors: 6, accuracy train: 0.7850705121408122, accuracy val: 0.698243878308187
n_neighbors: 7, accuracy train: 0.7804050471848161, accuracy val: 0.6989859015582488
n_neighbors: 8, accuracy train: 0.7719223836284593, accuracy val: 0.6994805837249567
n_neighbors: 9, accuracy train: 0.770225850917188, accuracy val: 0.6992332426416028
n_neighbors: 10, accuracy train: 0.7636517866610115, accuracy val: 0.702696017808558
n_neighbors: 11, accuracy train: 0.763757819955466, accuracy val: 0.6989859015582488
n_neighbors: 12, accuracy train: 0.7602587212384688, accuracy val: 0.698243878308187
n_neighbors: 13, accuracy train: 0.757289788993744, accuracy val: 0.7007172891417265
n_neighbors: 14, accuracy train: 0.7554872229880183, accuracy val: 0.6967598318080633
n_neighbors: 15, accuracy train: 0.7541087901601102, accuracy val: 0.6987385604748949
n_neighbors: 16, accuracy train: 0.7536846569822925, accuracy val: 0.6962651496413554
n_neighbors: 17, accuracy train: 0.7481709256706606, accuracy val: 0.698243878308187
n_neighbors: 18, accuracy train: 0.7470045594316616, accuracy val: 0.6950284442245857
n_neighbors: 19, accuracy train: 0.7454140600148447, accuracy val: 0.6970071728914172
n_neighbors: 20, accuracy train: 0.7429752942423921, accuracy val: 0.6962651496413554
n_neighbors: 21, accuracy train: 0.7405365284699396, accuracy val: 0.69403907989117
n_neighbors: 22, accuracy train: 0.7403244618810306, accuracy val: 0.6947811031412318
n_neighbors: 23, accuracy train: 0.7404304951754851, accuracy val: 0.69403907989117
n_neighbors: 24, accuracy train: 0.7390520623475771, accuracy val: 0.6967598318080633
n_neighbors: 25, accuracy train: 0.7399003287032128, accuracy val: 0.6955231263912935
n_neighbors: 26, accuracy train: 0.7411727282366664, accuracy val: 0.698243878308187
n_neighbors: 27, accuracy train: 0.7349167638638533, accuracy val: 0.6989859015582488
n_neighbors: 28, accuracy train: 0.7329021312692185, accuracy val: 0.6989859015582488
n_neighbors: 29, accuracy train: 0.7322659315024918, accuracy val: 0.6992332426416028
[KNN BEST] n_neighbors=10, val_accuracy=0.702696017808558
RandomForest: n_estimators=100, accuracy train: 0.9997879334110911, accuracy val: 0.7081375216423448
------------------------------------------------------------------------------------------------------------------------
orientations: 36, n_components: 200
n_neighbors: 1, accuracy train: 0.9997879334110911, accuracy val: 0.662132080138511
n_neighbors: 2, accuracy train: 0.8315130951118651, accuracy val: 0.6349245609695771
n_neighbors: 3, accuracy train: 0.8196373661329658, accuracy val: 0.6626267623052189
n_neighbors: 4, accuracy train: 0.7935531756971689, accuracy val: 0.6604006925550334
n_neighbors: 5, accuracy train: 0.7823136464849962, accuracy val: 0.6670789018055899
n_neighbors: 6, accuracy train: 0.7718163503340049, accuracy val: 0.6744991343062082
n_neighbors: 7, accuracy train: 0.7670448520835542, accuracy val: 0.6732624288894385
n_neighbors: 8, accuracy train: 0.7578199554660163, accuracy val: 0.6762305218896859
n_neighbors: 9, accuracy train: 0.7578199554660163, accuracy val: 0.6789512738065793
n_neighbors: 10, accuracy train: 0.7477467924928427, accuracy val: 0.6811773435567647
n_neighbors: 11, accuracy train: 0.7460502597815715, accuracy val: 0.6829087311402424
n_neighbors: 12, accuracy train: 0.7413847948255752, accuracy val: 0.6806826613900568
n_neighbors: 13, accuracy train: 0.7351288304527621, accuracy val: 0.6777145683898096
n_neighbors: 14, accuracy train: 0.7347046972749444, accuracy val: 0.675735839722978
n_neighbors: 15, accuracy train: 0.7326900646803096, accuracy val: 0.6740044521395003
n_neighbors: 16, accuracy train: 0.731841798324674, accuracy val: 0.6791986148899333
n_neighbors: 17, accuracy train: 0.7316297317357651, accuracy val: 0.680435320306703
